business_partner_name,current_km_reading,invoice_date,invoice_line_text,job_card_date,part_description,quantity,unit_price,total_amount,purchase_date
Karla Monahan,56912,2024-07-07T22:09:08.940Z,Mr. Abel Abshire,2024-09-28T13:57:13.839Z,Mable Dietrich,6,1107.078102673404,18715.297941979952,2024-04-02T19:28:56.730Z
Dr. Emanuel Jacobi,17840,2025-02-26T04:30:10.033Z,Faye Friesen,2024-12-03T00:53:41.979Z,Frank Kreiger,10,1975.2959742443636,19336.41200873535,2024-05-12T00:54:12.380Z
Alberta Kulas,83887,2024-09-25T19:03:23.176Z,Renee Anderson,2024-09-07T19:59:51.035Z,Betsy Von,1,841.5421985439025,7820.895511750132,2024-10-02T17:28:52.312Z
Cassandra Murphy,63041,2025-03-08T07:11:08.614Z,Kyle Haley Sr.,2024-07-01T01:53:25.485Z,Rickey Corwin,4,1449.1584794712253,19375.236263137776,2024-06-20T10:44:08.831Z
Deanna Parisian,7997,2024-03-24T21:23:25.094Z,Hugo Nienow,2024-05-10T11:46:08.062Z,Mr. Kevin Wisozk,6,229.05723041621968,1151.6495436895639,2025-01-23T00:39:43.690Z
Shawna Bosco,26837,2024-08-19T00:47:32.883Z,Leticia Fadel,2024-05-24T16:24:25.743Z,Pedro Swaniawski,1,716.0002430668101,19711.520311026834,2025-01-30T16:34:19.856Z
Carmen Olson,63598,2024-09-01T18:31:47.630Z,Roland Denesik,2024-08-26T14:01:54.806Z,Patricia Shields,5,454.1281180921942,18559.180566691794,2024-10-05T12:35:41.134Z
Harry Braun,76478,2024-09-11T03:58:18.501Z,Irvin Dickens,2024-10-22T12:11:49.983Z,Krystal Schuppe,9,1270.828957366757,8909.181491471827,2025-02-27T19:42:07.393Z
Louise Wolf,64050,2024-04-28T15:50:12.573Z,Ms. Deborah Lubowitz,2024-05-06T05:14:03.682Z,Thomas DuBuque,6,925.1943886163644,9246.89328278182,2024-06-09T12:03:36.793Z
Verna Keeling,11564,2024-08-20T18:27:00.755Z,Doris Bednar,2024-04-01T10:31:43.606Z,Dr. Edwin Franecki,10,783.4102437016554,5978.473333409056,2024-06-13T22:19:11.264Z
Carol Orn-Rowe,64642,2025-01-08T02:03:43.577Z,Leona Muller,2024-09-10T22:18:21.221Z,Constance Shields,8,1204.4568336335942,4582.9741004738025,2024-05-06T11:11:48.767Z
Rachel Turner,67044,2024-04-03T22:35:31.312Z,Brooke Mante,2024-11-19T11:43:05.332Z,Earnest Wiegand,2,1343.894433742389,272.29494156781584,2024-05-07T20:20:17.034Z
Dr. Myra Doyle,45025,2024-05-17T11:18:40.561Z,Fernando Ratke,2024-12-17T02:43:24.753Z,Chris Boehm-Kub,7,1648.5750521649607,13395.07703302661,2024-10-31T20:48:07.737Z
Francisco Franey,79121,2025-03-05T13:29:29.814Z,Wilma Langworth,2024-08-06T12:53:11.014Z,Stewart Stehr IV,7,1936.8310927879065,14412.23718172405,2024-04-06T23:04:10.136Z
